ERROR [2023-09-07 11:58:38] Data quality issues !
      verb redux_fn                                            predicate
380 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
381 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
382 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
383 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
384 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
385 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
386 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
387 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
388 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
389 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
390 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
391 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
392 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
393 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
394 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
395 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
396 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
397 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
398 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
399 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
400 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
401 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
402 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
403 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
404 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
405 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
406 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
407 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
408 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
409 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
410 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
411 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
412 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
413 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
414 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
415 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
416 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
417 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
418 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
419 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
420 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
421 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
422 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
423 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
